best,mean
541,541.0
254,428.16
242,281.9
242,277.08
242,276.4
242,275.0
242,272.74
241,272.54
241,270.32
240,270.38
240,269.34
233,270.1
233,268.88
233,268.94
233,267.42
233,268.64
228,266.7
228,267.14
228,267.2
226,267.24
226,268.48
226,266.48
226,267.12
226,264.56
226,265.16
226,265.68
226,267.12
226,264.84
226,264.84
226,263.7
226,265.82
226,267.78
226,264.64
226,264.22
226,267.04
226,264.8
226,264.56
226,264.46
226,265.16
226,263.38
226,264.62
226,265.66
226,264.18
226,265.4
226,262.82
226,264.36
226,264.68
226,263.4
226,262.98
226,261.02
226,264.12
166,218.46
161,187.42
161,183.66
160,182.5
160,182.96
156,179.66
151,178.84
151,178.42
151,178.04
151,176.6
151,176.64
151,176.8
151,177.14
148,177.3
145,175.1
145,175.18
145,176.46
145,176.54
145,175.46
145,174.14
145,174.02
145,175.54
145,175.5
145,173.92
145,174.74
145,171.9
145,175.28
145,173.22
145,173.64
145,173.6
145,173.7
145,172.26
145,170.16
145,173.0
145,171.74
145,170.6
145,171.38
145,172.38
145,170.58
145,171.94
145,174.52
145,172.74
145,173.0
145,172.46
145,170.96
145,170.96
145,170.2
145,172.44
145,171.06
145,170.24
100,147.68
100,139.76
100,136.26
100,133.3
100,132.98
100,133.16
100,130.8
100,132.4
100,130.68
100,132.44
100,129.42
100,130.08
100,129.74
100,128.64
100,129.54
100,129.76
100,129.16
100,129.14
100,130.3
100,128.1
100,129.74
100,127.7
100,128.6
100,127.96
100,127.68
100,129.34
100,129.02
100,125.56
100,127.26
100,128.58
100,125.76
100,126.32
100,127.62
100,128.3
100,126.96
100,125.18
100,127.76
100,127.76
100,126.64
91,125.8
91,125.68
91,124.46
91,122.92
91,126.16
91,124.48
91,124.66
91,123.96
91,126.22
91,125.26
91,123.62
91,112.94
91,110.28
91,108.18
88,106.52
83,107.92
82,103.84
79,102.24
79,102.3
79,102.76
79,101.16
79,100.98
79,101.36
79,104.1
79,101.36
79,101.1
77,100.1
77,99.82
77,100.74
69,99.92
69,97.6
69,100.04
69,101.02
69,99.94
69,99.72
69,97.66
69,99.38
69,97.58
69,98.36
69,99.14
69,98.14
69,98.06
69,96.28
69,98.74
69,97.76
69,98.3
69,98.84
69,96.92
69,95.7
69,97.06
