best,mean
3960,3960.0
1900,3125.44
1900,2058.32
1900,2048.88
1892,2036.48
1892,2034.48
1892,2033.28
1892,2030.48
1892,2025.6
1868,2028.24
1868,2027.84
1868,2018.24
1868,2016.64
1868,2015.04
1868,2018.16
1868,2019.12
1868,2014.16
1868,2020.88
1868,2014.24
1856,2011.52
1856,2014.64
1856,2015.36
1856,2016.0
1856,2013.68
1856,2015.2
1856,2011.12
1856,2009.52
1856,2012.8
1856,2013.44
1856,2012.88
1856,2002.48
1856,2011.68
1856,2011.04
1856,2012.08
1856,2015.28
1856,2011.04
1856,2008.88
1856,2010.4
1856,2018.8
1856,2007.44
1856,1998.16
1856,2006.56
1856,2009.28
1856,2002.16
1856,2006.64
1856,1996.56
1856,2001.84
1852,1995.2
1852,2004.32
1852,2004.48
1852,2007.44
1256,1671.36
1252,1371.0
1216,1357.72
1212,1351.8
1212,1355.44
1212,1347.36
1212,1340.68
1212,1336.48
1212,1342.12
1212,1330.36
1212,1333.52
1212,1333.96
1212,1337.36
1212,1325.72
1212,1324.84
1212,1324.8
1212,1334.64
1212,1329.0
1212,1336.52
1212,1318.64
1212,1336.6
1212,1329.52
1186,1323.28
1186,1325.04
1184,1323.76
1184,1320.0
1184,1321.28
1184,1319.64
1184,1323.32
1184,1327.0
1184,1331.24
1184,1322.8
1184,1326.88
1184,1319.44
1184,1323.56
1184,1317.24
1184,1319.2
1184,1310.28
1184,1317.36
1184,1318.44
1184,1319.32
1184,1315.12
1184,1326.12
1184,1318.28
1184,1319.4
1184,1320.4
1184,1317.72
1184,1317.0
1184,1321.08
1184,1318.72
928,1156.2
928,1034.84
928,1016.44
928,1009.28
928,1010.76
904,1001.52
904,1002.32
904,1000.6
904,997.2
904,998.0
904,995.52
904,994.4
904,991.52
892,990.08
892,994.36
892,984.04
892,987.52
892,996.4
892,994.96
892,991.16
892,989.96
892,993.0
892,995.92
892,986.16
892,992.84
892,988.44
892,989.24
890,982.48
890,980.84
890,991.04
882,991.8
882,986.76
882,987.96
882,982.08
882,979.28
882,985.92
882,982.88
882,986.04
882,983.32
882,982.04
882,978.88
882,986.16
882,980.16
882,978.36
882,982.88
882,987.12
882,980.28
882,983.44
882,981.32
882,978.04
742,880.88
742,823.64
742,813.52
710,803.56
666,799.6
666,795.8
666,787.6
666,792.28
666,794.32
666,793.08
666,791.12
666,795.2
666,787.76
666,788.32
666,790.16
666,783.64
666,783.92
666,785.76
666,793.12
666,785.8
666,790.92
666,781.72
666,789.32
666,788.64
666,791.8
666,785.04
666,791.0
666,782.76
666,784.88
666,784.64
666,789.88
666,787.96
666,782.96
666,777.72
666,780.12
666,780.4
666,786.44
666,789.84
666,784.56
666,786.04
666,777.88
666,777.48
666,780.08
