data;
param V := 114;
param E := 
0 1 1
0 3 1
0 19 1
0 21 1
1 2 1
1 18 1
1 20 1
2 5 1
2 13 1
2 19 1
2 23 1
2 31 1
3 4 1
3 13 1
3 18 1
3 22 1
3 31 1
4 7 1
4 14 1
4 21 1
4 25 1
4 32 1
5 6 1
5 14 1
5 20 1
5 24 1
5 32 1
6 9 1
6 15 1
6 23 1
6 27 1
6 33 1
7 8 1
7 15 1
7 22 1
7 26 1
7 33 1
8 11 1
8 16 1
8 25 1
8 29 1
8 34 1
9 10 1
9 16 1
9 24 1
9 28 1
9 34 1
10 12 1
10 17 1
10 27 1
10 30 1
10 35 1
11 12 1
11 17 1
11 26 1
11 30 1
11 35 1
12 13 1
12 14 1
12 15 1
12 16 1
12 17 1
12 28 1
12 29 1
12 31 1
12 32 1
12 33 1
12 34 1
12 35 1
13 14 1
13 15 1
13 16 1
13 17 1
13 20 1
13 21 1
13 30 1
13 32 1
13 33 1
13 34 1
13 35 1
14 15 1
14 16 1
14 17 1
14 22 1
14 23 1
14 30 1
14 31 1
14 33 1
14 34 1
14 35 1
15 16 1
15 17 1
15 24 1
15 25 1
15 30 1
15 31 1
15 32 1
15 34 1
15 35 1
16 17 1
16 26 1
16 27 1
16 30 1
16 31 1
16 32 1
16 33 1
16 35 1
17 28 1
17 29 1
17 30 1
17 31 1
17 32 1
17 33 1
17 34 1
18 37 1
18 39 1
18 109 1
19 36 1
19 38 1
19 109 1
20 37 1
20 41 1
20 49 1
20 109 1
21 36 1
21 40 1
21 49 1
21 109 1
22 39 1
22 43 1
22 50 1
22 109 1
23 38 1
23 42 1
23 50 1
23 109 1
24 41 1
24 45 1
24 51 1
24 109 1
25 40 1
25 44 1
25 51 1
25 109 1
26 43 1
26 47 1
26 52 1
26 109 1
27 42 1
27 46 1
27 52 1
27 109 1
28 45 1
28 48 1
28 53 1
28 109 1
29 44 1
29 48 1
29 53 1
29 109 1
30 46 1
30 47 1
30 49 1
30 50 1
30 51 1
30 52 1
30 53 1
30 109 1
31 38 1
31 39 1
31 48 1
31 50 1
31 51 1
31 52 1
31 53 1
31 109 1
32 40 1
32 41 1
32 48 1
32 49 1
32 51 1
32 52 1
32 53 1
32 109 1
33 42 1
33 43 1
33 48 1
33 49 1
33 50 1
33 52 1
33 53 1
33 109 1
34 44 1
34 45 1
34 48 1
34 49 1
34 50 1
34 51 1
34 53 1
34 109 1
35 46 1
35 47 1
35 48 1
35 49 1
35 50 1
35 51 1
35 52 1
35 109 1
36 55 1
36 57 1
36 110 1
37 54 1
37 56 1
37 110 1
38 55 1
38 59 1
38 67 1
38 110 1
39 54 1
39 58 1
39 67 1
39 110 1
40 57 1
40 61 1
40 68 1
40 110 1
41 56 1
41 60 1
41 68 1
41 110 1
42 59 1
42 63 1
42 69 1
42 110 1
43 58 1
43 62 1
43 69 1
43 110 1
44 61 1
44 65 1
44 70 1
44 110 1
45 60 1
45 64 1
45 70 1
45 110 1
46 63 1
46 66 1
46 71 1
46 110 1
47 62 1
47 66 1
47 71 1
47 110 1
48 64 1
48 65 1
48 67 1
48 68 1
48 69 1
48 70 1
48 71 1
48 110 1
49 56 1
49 57 1
49 66 1
49 68 1
49 69 1
49 70 1
49 71 1
49 110 1
50 58 1
50 59 1
50 66 1
50 67 1
50 69 1
50 70 1
50 71 1
50 110 1
51 60 1
51 61 1
51 66 1
51 67 1
51 68 1
51 70 1
51 71 1
51 110 1
52 62 1
52 63 1
52 66 1
52 67 1
52 68 1
52 69 1
52 71 1
52 110 1
53 64 1
53 65 1
53 66 1
53 67 1
53 68 1
53 69 1
53 70 1
53 110 1
54 73 1
54 75 1
54 111 1
55 72 1
55 74 1
55 111 1
56 73 1
56 77 1
56 85 1
56 111 1
57 72 1
57 76 1
57 85 1
57 111 1
58 75 1
58 79 1
58 86 1
58 111 1
59 74 1
59 78 1
59 86 1
59 111 1
60 77 1
60 81 1
60 87 1
60 111 1
61 76 1
61 80 1
61 87 1
61 111 1
62 79 1
62 83 1
62 88 1
62 111 1
63 78 1
63 82 1
63 88 1
63 111 1
64 81 1
64 84 1
64 89 1
64 111 1
65 80 1
65 84 1
65 89 1
65 111 1
66 82 1
66 83 1
66 85 1
66 86 1
66 87 1
66 88 1
66 89 1
66 111 1
67 74 1
67 75 1
67 84 1
67 86 1
67 87 1
67 88 1
67 89 1
67 111 1
68 76 1
68 77 1
68 84 1
68 85 1
68 87 1
68 88 1
68 89 1
68 111 1
69 78 1
69 79 1
69 84 1
69 85 1
69 86 1
69 88 1
69 89 1
69 111 1
70 80 1
70 81 1
70 84 1
70 85 1
70 86 1
70 87 1
70 89 1
70 111 1
71 82 1
71 83 1
71 84 1
71 85 1
71 86 1
71 87 1
71 88 1
71 111 1
72 91 1
72 93 1
72 112 1
73 90 1
73 92 1
73 112 1
74 91 1
74 95 1
74 103 1
74 112 1
75 90 1
75 94 1
75 103 1
75 112 1
76 93 1
76 97 1
76 104 1
76 112 1
77 92 1
77 96 1
77 104 1
77 112 1
78 95 1
78 99 1
78 105 1
78 112 1
79 94 1
79 98 1
79 105 1
79 112 1
80 97 1
80 101 1
80 106 1
80 112 1
81 96 1
81 100 1
81 106 1
81 112 1
82 99 1
82 102 1
82 107 1
82 112 1
83 98 1
83 102 1
83 107 1
83 112 1
84 100 1
84 101 1
84 103 1
84 104 1
84 105 1
84 106 1
84 107 1
84 112 1
85 92 1
85 93 1
85 102 1
85 104 1
85 105 1
85 106 1
85 107 1
85 112 1
86 94 1
86 95 1
86 102 1
86 103 1
86 105 1
86 106 1
86 107 1
86 112 1
87 96 1
87 97 1
87 102 1
87 103 1
87 104 1
87 106 1
87 107 1
87 112 1
88 98 1
88 99 1
88 102 1
88 103 1
88 104 1
88 105 1
88 107 1
88 112 1
89 100 1
89 101 1
89 102 1
89 103 1
89 104 1
89 105 1
89 106 1
89 112 1
90 108 1
90 113 1
91 108 1
91 113 1
92 108 1
92 113 1
93 108 1
93 113 1
94 108 1
94 113 1
95 108 1
95 113 1
96 108 1
96 113 1
97 108 1
97 113 1
98 108 1
98 113 1
99 108 1
99 113 1
100 108 1
100 113 1
101 108 1
101 113 1
102 108 1
102 113 1
103 108 1
103 113 1
104 108 1
104 113 1
105 108 1
105 113 1
106 108 1
106 113 1
107 108 1
107 113 1
108 109 1
108 110 1
108 111 1
108 112 1
108 113 1
109 110 1
109 111 1
109 112 1
109 113 1
110 111 1
110 112 1
110 113 1
111 112 1
111 113 1
112 113 1
;
end;
