data;
param V := 121;
param E := 
0 12 1
0 24 1
0 36 1
0 48 1
0 60 1
0 72 1
0 84 1
0 96 1
0 108 1
0 120 1
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 22 1
0 33 1
0 44 1
0 55 1
0 66 1
0 77 1
0 88 1
0 99 1
0 110 1
1 13 1
1 25 1
1 37 1
1 49 1
1 61 1
1 73 1
1 85 1
1 97 1
1 109 1
1 11 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 12 1
1 23 1
1 34 1
1 45 1
1 56 1
1 67 1
1 78 1
1 89 1
1 100 1
1 111 1
1 0 1
2 14 1
2 26 1
2 38 1
2 50 1
2 62 1
2 74 1
2 86 1
2 98 1
2 12 1
2 22 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 13 1
2 24 1
2 35 1
2 46 1
2 57 1
2 68 1
2 79 1
2 90 1
2 101 1
2 112 1
2 1 1
2 0 1
3 15 1
3 27 1
3 39 1
3 51 1
3 63 1
3 75 1
3 87 1
3 13 1
3 23 1
3 33 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 14 1
3 25 1
3 36 1
3 47 1
3 58 1
3 69 1
3 80 1
3 91 1
3 102 1
3 113 1
3 2 1
3 1 1
3 0 1
4 16 1
4 28 1
4 40 1
4 52 1
4 64 1
4 76 1
4 14 1
4 24 1
4 34 1
4 44 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 15 1
4 26 1
4 37 1
4 48 1
4 59 1
4 70 1
4 81 1
4 92 1
4 103 1
4 114 1
4 3 1
4 2 1
4 1 1
4 0 1
5 17 1
5 29 1
5 41 1
5 53 1
5 65 1
5 15 1
5 25 1
5 35 1
5 45 1
5 55 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 16 1
5 27 1
5 38 1
5 49 1
5 60 1
5 71 1
5 82 1
5 93 1
5 104 1
5 115 1
5 4 1
5 3 1
5 2 1
5 1 1
5 0 1
6 18 1
6 30 1
6 42 1
6 54 1
6 16 1
6 26 1
6 36 1
6 46 1
6 56 1
6 66 1
6 7 1
6 8 1
6 9 1
6 10 1
6 17 1
6 28 1
6 39 1
6 50 1
6 61 1
6 72 1
6 83 1
6 94 1
6 105 1
6 116 1
6 5 1
6 4 1
6 3 1
6 2 1
6 1 1
6 0 1
7 19 1
7 31 1
7 43 1
7 17 1
7 27 1
7 37 1
7 47 1
7 57 1
7 67 1
7 77 1
7 8 1
7 9 1
7 10 1
7 18 1
7 29 1
7 40 1
7 51 1
7 62 1
7 73 1
7 84 1
7 95 1
7 106 1
7 117 1
7 6 1
7 5 1
7 4 1
7 3 1
7 2 1
7 1 1
7 0 1
8 20 1
8 32 1
8 18 1
8 28 1
8 38 1
8 48 1
8 58 1
8 68 1
8 78 1
8 88 1
8 9 1
8 10 1
8 19 1
8 30 1
8 41 1
8 52 1
8 63 1
8 74 1
8 85 1
8 96 1
8 107 1
8 118 1
8 7 1
8 6 1
8 5 1
8 4 1
8 3 1
8 2 1
8 1 1
8 0 1
9 21 1
9 19 1
9 29 1
9 39 1
9 49 1
9 59 1
9 69 1
9 79 1
9 89 1
9 99 1
9 10 1
9 20 1
9 31 1
9 42 1
9 53 1
9 64 1
9 75 1
9 86 1
9 97 1
9 108 1
9 119 1
9 8 1
9 7 1
9 6 1
9 5 1
9 4 1
9 3 1
9 2 1
9 1 1
9 0 1
10 20 1
10 30 1
10 40 1
10 50 1
10 60 1
10 70 1
10 80 1
10 90 1
10 100 1
10 110 1
10 21 1
10 32 1
10 43 1
10 54 1
10 65 1
10 76 1
10 87 1
10 98 1
10 109 1
10 120 1
10 9 1
10 8 1
10 7 1
10 6 1
10 5 1
10 4 1
10 3 1
10 2 1
10 1 1
10 0 1
11 23 1
11 35 1
11 47 1
11 59 1
11 71 1
11 83 1
11 95 1
11 107 1
11 119 1
11 12 1
11 13 1
11 14 1
11 15 1
11 16 1
11 17 1
11 18 1
11 19 1
11 20 1
11 21 1
11 22 1
11 33 1
11 44 1
11 55 1
11 66 1
11 77 1
11 88 1
11 99 1
11 110 1
11 1 1
11 0 1
12 24 1
12 36 1
12 48 1
12 60 1
12 72 1
12 84 1
12 96 1
12 108 1
12 120 1
12 22 1
12 13 1
12 14 1
12 15 1
12 16 1
12 17 1
12 18 1
12 19 1
12 20 1
12 21 1
12 23 1
12 34 1
12 45 1
12 56 1
12 67 1
12 78 1
12 89 1
12 100 1
12 111 1
12 11 1
12 2 1
12 1 1
12 0 1
13 25 1
13 37 1
13 49 1
13 61 1
13 73 1
13 85 1
13 97 1
13 109 1
13 23 1
13 33 1
13 14 1
13 15 1
13 16 1
13 17 1
13 18 1
13 19 1
13 20 1
13 21 1
13 24 1
13 35 1
13 46 1
13 57 1
13 68 1
13 79 1
13 90 1
13 101 1
13 112 1
13 12 1
13 11 1
13 3 1
13 2 1
13 1 1
14 26 1
14 38 1
14 50 1
14 62 1
14 74 1
14 86 1
14 98 1
14 24 1
14 34 1
14 44 1
14 15 1
14 16 1
14 17 1
14 18 1
14 19 1
14 20 1
14 21 1
14 25 1
14 36 1
14 47 1
14 58 1
14 69 1
14 80 1
14 91 1
14 102 1
14 113 1
14 13 1
14 12 1
14 11 1
14 4 1
14 3 1
14 2 1
15 27 1
15 39 1
15 51 1
15 63 1
15 75 1
15 87 1
15 25 1
15 35 1
15 45 1
15 55 1
15 16 1
15 17 1
15 18 1
15 19 1
15 20 1
15 21 1
15 26 1
15 37 1
15 48 1
15 59 1
15 70 1
15 81 1
15 92 1
15 103 1
15 114 1
15 14 1
15 13 1
15 12 1
15 11 1
15 5 1
15 4 1
15 3 1
16 28 1
16 40 1
16 52 1
16 64 1
16 76 1
16 26 1
16 36 1
16 46 1
16 56 1
16 66 1
16 17 1
16 18 1
16 19 1
16 20 1
16 21 1
16 27 1
16 38 1
16 49 1
16 60 1
16 71 1
16 82 1
16 93 1
16 104 1
16 115 1
16 15 1
16 14 1
16 13 1
16 12 1
16 11 1
16 6 1
16 5 1
16 4 1
17 29 1
17 41 1
17 53 1
17 65 1
17 27 1
17 37 1
17 47 1
17 57 1
17 67 1
17 77 1
17 18 1
17 19 1
17 20 1
17 21 1
17 28 1
17 39 1
17 50 1
17 61 1
17 72 1
17 83 1
17 94 1
17 105 1
17 116 1
17 16 1
17 15 1
17 14 1
17 13 1
17 12 1
17 11 1
17 7 1
17 6 1
17 5 1
18 30 1
18 42 1
18 54 1
18 28 1
18 38 1
